SEQ	CLASS	Qmm	P	T	E
1	2071_2100	NA	4.739	29.466	5.392
2	2071_2100	NA	4.614	28.825	5.593
3	2071_2100	NA	25.838	31.894	6.213
4	2071_2100	NA	63.058	32.027	6.137
5	2071_2100	NA	106.623	30.836	4.714
6	2071_2100	NA	200.798	29.609	4.090
7	2071_2100	NA	282.250	30.225	4.047
8	2071_2100	NA	107.703	29.888	3.906
9	2071_2100	NA	313.398	29.616	3.752
10	2071_2100	NA	494.157	29.081	3.824
11	2071_2100	NA	310.547	29.773	4.168
12	2071_2100	NA	87.470	30.135	4.791
13	2071_2100	NA	12.583	30.491	5.392
14	2071_2100	NA	3.466	29.753	5.593
15	2071_2100	NA	23.859	32.749	6.213
16	2071_2100	NA	122.792	32.431	6.137
17	2071_2100	NA	259.059	30.508	4.714
18	2071_2100	NA	312.728	30.544	4.090
19	2071_2100	NA	62.931	31.102	4.047
20	2071_2100	NA	204.550	31.112	3.906
21	2071_2100	NA	209.419	29.952	3.752
22	2071_2100	NA	487.362	29.761	3.824
23	2071_2100	NA	163.909	29.897	4.168
24	2071_2100	NA	59.333	30.027	4.791
25	2071_2100	NA	6.938	29.690	5.392
26	2071_2100	NA	40.409	29.857	5.593
27	2071_2100	NA	15.054	33.280	6.213
28	2071_2100	NA	101.048	33.034	6.137
29	2071_2100	NA	125.074	31.512	4.714
30	2071_2100	NA	233.362	30.013	4.090
31	2071_2100	NA	213.050	31.005	4.047
32	2071_2100	NA	130.726	30.226	3.906
33	2071_2100	NA	373.123	29.831	3.752
34	2071_2100	NA	375.669	29.084	3.824
35	2071_2100	NA	282.942	29.227	4.168
36	2071_2100	NA	45.698	29.526	4.791
37	2071_2100	NA	3.718	29.682	5.392
38	2071_2100	NA	5.942	29.323	5.593
39	2071_2100	NA	22.227	32.895	6.213
40	2071_2100	NA	94.928	32.561	6.137
41	2071_2100	NA	95.063	31.600	4.714
42	2071_2100	NA	386.653	30.152	4.090
43	2071_2100	NA	318.774	30.274	4.047
44	2071_2100	NA	392.591	30.331	3.906
45	2071_2100	NA	242.041	29.838	3.752
46	2071_2100	NA	495.359	28.511	3.824
47	2071_2100	NA	146.580	28.761	4.168
48	2071_2100	NA	45.816	29.688	4.791
49	2071_2100	NA	18.657	30.007	5.392
50	2071_2100	NA	9.965	29.556	5.593
51	2071_2100	NA	13.834	32.943	6.213
52	2071_2100	NA	15.289	32.809	6.137
53	2071_2100	NA	190.843	32.168	4.714
54	2071_2100	NA	201.199	30.785	4.090
55	2071_2100	NA	88.468	31.223	4.047
56	2071_2100	NA	156.461	31.224	3.906
57	2071_2100	NA	328.129	29.871	3.752
58	2071_2100	NA	331.717	29.539	3.824
59	2071_2100	NA	168.766	29.417	4.168
60	2071_2100	NA	43.066	29.828	4.791
61	2071_2100	NA	24.931	29.696	5.392
62	2071_2100	NA	19.690	29.589	5.593
63	2071_2100	NA	29.550	32.858	6.213
64	2071_2100	NA	82.321	32.828	6.137
65	2071_2100	NA	437.298	31.526	4.714
66	2071_2100	NA	289.885	30.632	4.090
67	2071_2100	NA	243.376	30.631	4.047
68	2071_2100	NA	224.182	30.831	3.906
69	2071_2100	NA	252.887	30.402	3.752
70	2071_2100	NA	512.050	29.753	3.824
71	2071_2100	NA	136.518	30.007	4.168
72	2071_2100	NA	89.017	30.735	4.791
73	2071_2100	NA	18.832	31.094	5.392
74	2071_2100	NA	22.294	31.176	5.593
75	2071_2100	NA	12.626	33.666	6.213
76	2071_2100	NA	91.456	32.983	6.137
77	2071_2100	NA	89.568	32.019	4.714
78	2071_2100	NA	244.427	30.991	4.090
79	2071_2100	NA	126.493	31.509	4.047
80	2071_2100	NA	190.681	31.306	3.906
81	2071_2100	NA	450.123	30.849	3.752
82	2071_2100	NA	392.296	30.468	3.824
83	2071_2100	NA	182.025	29.917	4.168
84	2071_2100	NA	100.426	30.661	4.791
85	2071_2100	NA	14.267	31.312	5.392
86	2071_2100	NA	29.008	30.602	5.593
87	2071_2100	NA	18.797	33.615	6.213
88	2071_2100	NA	42.530	32.466	6.137
89	2071_2100	NA	375.962	32.254	4.714
90	2071_2100	NA	309.377	31.162	4.090
91	2071_2100	NA	136.422	31.281	4.047
92	2071_2100	NA	138.272	30.831	3.906
93	2071_2100	NA	265.392	29.945	3.752
94	2071_2100	NA	477.778	29.683	3.824
95	2071_2100	NA	293.344	29.743	4.168
96	2071_2100	NA	64.975	30.510	4.791
