SEQ	CLASS	Qmm	P	T	E
139	2071_2100	NA	91.068	27.987	4.037
140	2071_2100	NA	199.044	28.468	3.814
141	2071_2100	NA	273.090	28.249	3.912
142	2071_2100	NA	272.758	27.188	3.824
143	2071_2100	NA	184.867	27.774	4.038
144	2071_2100	NA	64.333	28.260	4.856
145	2071_2100	NA	4.227	28.723	5.577
146	2071_2100	NA	6.450	28.095	5.705
147	2071_2100	NA	11.318	31.281	6.171
148	2071_2100	NA	63.737	31.033	6.044
149	2071_2100	NA	256.045	29.452	4.695
150	2071_2100	NA	466.802	28.130	4.215
151	2071_2100	NA	253.016	29.059	4.037
152	2071_2100	NA	447.350	28.721	3.814
153	2071_2100	NA	453.833	28.020	3.912
154	2071_2100	NA	495.794	27.849	3.824
155	2071_2100	NA	142.525	28.289	4.038
156	2071_2100	NA	24.783	28.993	4.856
157	2071_2100	NA	13.502	29.010	5.577
158	2071_2100	NA	7.422	28.918	5.705
159	2071_2100	NA	16.345	32.059	6.171
160	2071_2100	NA	42.252	32.047	6.044
161	2071_2100	NA	308.055	29.743	4.695
162	2071_2100	NA	345.354	29.332	4.215
163	2071_2100	NA	133.635	29.994	4.037
164	2071_2100	NA	252.191	29.697	3.814
165	2071_2100	NA	512.818	28.728	3.912
166	2071_2100	NA	356.663	27.495	3.824
167	2071_2100	NA	74.216	28.539	4.038
168	2071_2100	NA	31.848	28.689	4.856
169	2071_2100	NA	5.589	28.929	5.577
170	2071_2100	NA	4.834	29.112	5.705
171	2071_2100	NA	8.996	31.952	6.171
172	2071_2100	NA	27.626	31.590	6.044
173	2071_2100	NA	235.376	29.738	4.695
174	2071_2100	NA	256.065	28.971	4.215
175	2071_2100	NA	186.805	28.968	4.037
176	2071_2100	NA	284.951	28.953	3.814
177	2071_2100	NA	441.182	28.138	3.912
178	2071_2100	NA	427.817	27.499	3.824
179	2071_2100	NA	381.443	27.823	4.038
180	2071_2100	NA	36.345	28.139	4.856
181	2071_2100	NA	5.533	28.606	5.577
182	2071_2100	NA	5.890	28.215	5.705
183	2071_2100	NA	9.843	30.957	6.171
184	2071_2100	NA	60.374	30.646	6.044
185	2071_2100	NA	174.524	28.619	4.695
