SEQ	CLASS	Qmm	P	T	E
1	2011_2040	NA	6.075	27.04447282	5.631
2	2011_2040	NA	6.250	26.40970433	5.746
3	2011_2040	NA	24.350	29.59256838	5.961
4	2011_2040	NA	62.280	29.26836635	5.847
5	2011_2040	NA	171.027	28.28287576	4.603
6	2011_2040	NA	309.178	26.70379982	4.160
7	2011_2040	NA	409.993	26.84650865	4.278
8	2011_2040	NA	199.846	26.81551909	4.421
9	2011_2040	NA	381.133	27.03304892	4.188
10	2011_2040	NA	438.387	26.65445519	3.796
11	2011_2040	NA	261.805	26.95721417	3.893
12	2011_2040	NA	88.122	27.37553453	4.716
13	2011_2040	NA	13.918	27.7082878	5.631
14	2011_2040	NA	5.102	27.21988394	5.746
15	2011_2040	NA	22.371	30.52302843	5.961
16	2011_2040	NA	122.014	29.52729849	5.847
17	2011_2040	NA	323.463	28.08186554	4.603
18	2011_2040	NA	421.107	27.10623215	4.160
19	2011_2040	NA	190.675	27.57743532	4.278
20	2011_2040	NA	296.694	27.6229865	4.421
21	2011_2040	NA	277.154	26.5978097	4.188
22	2011_2040	NA	431.591	26.90810121	3.796
23	2011_2040	NA	115.167	27.04659142	3.893
24	2011_2040	NA	59.984	27.30652584	4.716
25	2011_2040	NA	8.273	27.1795266	5.631
26	2011_2040	NA	42.045	27.11225081	5.746
27	2011_2040	NA	13.567	30.2870893	5.961
28	2011_2040	NA	100.270	29.9362348	5.847
29	2011_2040	NA	189.477	28.57406565	4.603
30	2011_2040	NA	341.742	26.90117257	4.160
31	2011_2040	NA	340.793	27.75327518	4.278
32	2011_2040	NA	222.870	27.7719888	4.421
33	2011_2040	NA	440.858	27.29504381	4.188
34	2011_2040	NA	319.899	27.16777657	3.796
35	2011_2040	NA	234.200	27.09558028	3.893
36	2011_2040	NA	46.350	27.60607526	4.716
37	2011_2040	NA	5.053	27.46587101	5.631
38	2011_2040	NA	7.578	27.27082457	5.746
39	2011_2040	NA	20.739	30.63490079	5.961
40	2011_2040	NA	94.150	30.64123751	5.847
41	2011_2040	NA	159.467	29.39678668	4.603
42	2011_2040	NA	495.033	27.93031133	4.160
43	2011_2040	NA	446.517	28.31434586	4.278
44	2011_2040	NA	484.735	28.38237306	4.421
45	2011_2040	NA	309.776	27.57846214	4.188
46	2011_2040	NA	439.589	27.18655144	3.796
47	2011_2040	NA	97.838	27.20836491	3.893
48	2011_2040	NA	46.467	27.50324638	4.716
49	2011_2040	NA	19.993	27.81360429	5.631
50	2011_2040	NA	11.601	27.47431273	5.746
51	2011_2040	NA	12.346	30.63833636	5.961
52	2011_2040	NA	14.511	30.30033668	5.847
53	2011_2040	NA	255.247	29.41789781	4.603
54	2011_2040	NA	309.579	27.88807697	4.160
55	2011_2040	NA	216.212	27.95183239	4.278
56	2011_2040	NA	248.604	27.96301436	4.421
57	2011_2040	NA	395.864	26.76613743	4.188
58	2011_2040	NA	275.947	26.74629471	3.796
59	2011_2040	NA	120.024	26.62339454	3.893
60	2011_2040	NA	43.717	26.93138826	4.716
61	2011_2040	NA	26.267	27.27406163	5.631
62	2011_2040	NA	21.326	27.00638587	5.746
63	2011_2040	NA	28.062	30.10638987	5.961
64	2011_2040	NA	81.543	30.11521947	5.847
65	2011_2040	NA	501.702	27.73512767	4.603
66	2011_2040	NA	398.264	26.84657197	4.160
67	2011_2040	NA	371.120	27.27555647	4.278
68	2011_2040	NA	316.326	27.29454542	4.421
69	2011_2040	NA	320.622	26.98966109	4.188
70	2011_2040	NA	456.280	26.86724489	3.796
71	2011_2040	NA	87.776	27.0837285	3.893
72	2011_2040	NA	89.669	27.40146706	4.716
73	2011_2040	NA	20.168	27.86784376	5.631
74	2011_2040	NA	23.929	27.80327331	5.746
75	2011_2040	NA	11.138	30.33641545	5.961
76	2011_2040	NA	90.678	29.84492551	5.847
77	2011_2040	NA	153.972	28.38503966	4.603
78	2011_2040	NA	352.807	27.19220278	4.160
79	2011_2040	NA	254.236	27.57069542	4.278
80	2011_2040	NA	282.824	27.39378119	4.421
81	2011_2040	NA	517.858	26.81792831	4.188
82	2011_2040	NA	336.526	27.01203284	3.796
83	2011_2040	NA	133.283	27.20492677	3.893
84	2011_2040	NA	101.077	27.21873371	4.716
85	2011_2040	NA	15.603	28.21652079	5.631
86	2011_2040	NA	30.644	27.72627207	5.746
87	2011_2040	NA	17.309	30.71908894	5.961
88	2011_2040	NA	41.752	30.25986149	5.847
