SEQ	CLASS	Qmm	P	T	E
1	2071_2100	NA	5.969	28.124	5.530
2	2071_2100	NA	6.229	27.581	5.695
3	2071_2100	NA	23.883	30.771	5.928
4	2071_2100	NA	70.406	30.599	6.027
5	2071_2100	NA	179.211	29.084	5.063
6	2071_2100	NA	311.291	27.910	4.150
7	2071_2100	NA	370.000	28.139	4.381
8	2071_2100	NA	174.992	27.805	4.396
9	2071_2100	NA	332.082	27.556	4.117
10	2071_2100	NA	444.760	27.110	3.722
11	2071_2100	NA	281.664	27.260	3.969
12	2071_2100	NA	76.621	28.009	4.752
13	2071_2100	NA	13.813	28.608	5.530
14	2071_2100	NA	5.081	28.206	5.695
15	2071_2100	NA	21.904	31.394	5.928
16	2071_2100	NA	130.140	30.489	6.027
17	2071_2100	NA	331.647	28.923	5.063
18	2071_2100	NA	423.221	28.129	4.150
19	2071_2100	NA	150.682	28.059	4.381
20	2071_2100	NA	271.839	28.026	4.396
21	2071_2100	NA	228.103	27.305	4.117
22	2071_2100	NA	437.964	27.535	3.722
23	2071_2100	NA	135.026	27.708	3.969
24	2071_2100	NA	48.483	27.907	4.752
25	2071_2100	NA	8.167	27.905	5.530
26	2071_2100	NA	42.025	27.938	5.695
27	2071_2100	NA	13.099	31.261	5.928
28	2071_2100	NA	108.395	31.021	6.027
29	2071_2100	NA	197.661	28.666	5.063
30	2071_2100	NA	343.855	27.477	4.150
31	2071_2100	NA	300.800	28.360	4.381
32	2071_2100	NA	198.016	28.195	4.396
33	2071_2100	NA	391.807	27.657	4.117
34	2071_2100	NA	326.272	27.051	3.722
35	2071_2100	NA	254.059	27.911	3.969
36	2071_2100	NA	34.849	28.074	4.752
37	2071_2100	NA	4.948	27.947	5.530
38	2071_2100	NA	7.557	27.884	5.695
39	2071_2100	NA	20.272	31.247	5.928
40	2071_2100	NA	102.275	31.219	6.027
41	2071_2100	NA	167.651	29.952	5.063
42	2071_2100	NA	497.146	28.737	4.150
43	2071_2100	NA	406.524	29.169	4.381
44	2071_2100	NA	459.881	29.722	4.396
45	2071_2100	NA	260.725	28.687	4.117
46	2071_2100	NA	445.962	27.463	3.722
47	2071_2100	NA	117.697	28.082	3.969
48	2071_2100	NA	34.966	28.613	4.752
49	2071_2100	NA	19.887	28.949	5.530
50	2071_2100	NA	11.580	28.214	5.695
51	2071_2100	NA	11.878	31.578	5.928
52	2071_2100	NA	22.637	31.422	6.027
53	2071_2100	NA	263.431	30.318	5.063
54	2071_2100	NA	311.693	28.221	4.150
55	2071_2100	NA	176.219	28.568	4.381
56	2071_2100	NA	223.750	28.519	4.396
57	2071_2100	NA	346.813	27.451	4.117
58	2071_2100	NA	282.320	27.589	3.722
59	2071_2100	NA	139.883	27.568	3.969
60	2071_2100	NA	32.216	27.877	4.752
61	2071_2100	NA	26.161	27.916	5.530
62	2071_2100	NA	21.306	27.713	5.695
63	2071_2100	NA	27.595	31.139	5.928
64	2071_2100	NA	89.669	30.940	6.027
65	2071_2100	NA	509.886	28.710	5.063
66	2071_2100	NA	400.378	28.158	4.150
67	2071_2100	NA	331.127	28.461	4.381
68	2071_2100	NA	291.472	28.104	4.396
69	2071_2100	NA	271.571	27.556	4.117
70	2071_2100	NA	462.653	27.673	3.722
71	2071_2100	NA	107.635	27.723	3.969
72	2071_2100	NA	78.168	28.227	4.752
73	2071_2100	NA	20.062	28.616	5.530
74	2071_2100	NA	23.909	28.337	5.695
75	2071_2100	NA	10.671	31.110	5.928
76	2071_2100	NA	98.804	30.407	6.027
77	2071_2100	NA	162.156	29.180	5.063
78	2071_2100	NA	354.920	27.885	4.150
79	2071_2100	NA	214.243	28.513	4.381
80	2071_2100	NA	257.970	27.916	4.396
81	2071_2100	NA	468.807	27.692	4.117
82	2071_2100	NA	342.899	27.300	3.722
83	2071_2100	NA	153.142	26.812	3.969
84	2071_2100	NA	89.576	27.715	4.752
85	2071_2100	NA	15.497	28.480	5.530
86	2071_2100	NA	30.623	27.990	5.695
87	2071_2100	NA	16.842	31.080	5.928
88	2071_2100	NA	49.878	30.804	6.027
89	2071_2100	NA	448.550	29.238	5.063
90	2071_2100	NA	419.870	27.909	4.150
91	2071_2100	NA	224.172	28.159	4.381
92	2071_2100	NA	205.562	28.380	4.396
93	2071_2100	NA	284.076	27.768	4.117
94	2071_2100	NA	428.381	27.763	3.722
95	2071_2100	NA	264.462	27.892	3.969
96	2071_2100	NA	54.126	28.560	4.752
97	2071_2100	NA	18.874	28.433	5.530
98	2071_2100	NA	5.792	28.318	5.695
99	2071_2100	NA	44.358	31.360	5.928
100	2071_2100	NA	104.723	30.809	6.027
101	2071_2100	NA	227.608	29.210	5.063
102	2071_2100	NA	319.214	27.795	4.150
103	2071_2100	NA	118.028	28.128	4.381
104	2071_2100	NA	452.877	27.802	4.396
105	2071_2100	NA	412.076	27.452	4.117
106	2071_2100	NA	853.291	27.380	3.722
107	2071_2100	NA	184.308	27.539	3.969
108	2071_2100	NA	59.029	27.869	4.752
109	2071_2100	NA	14.717	28.145	5.530
110	2071_2100	NA	10.438	27.736	5.695
111	2071_2100	NA	69.949	31.333	5.928
112	2071_2100	NA	85.520	30.941	6.027
113	2071_2100	NA	288.598	29.704	5.063
114	2071_2100	NA	267.161	28.071	4.150
115	2071_2100	NA	288.345	28.485	4.381
116	2071_2100	NA	383.055	28.560	4.396
