SEQ	CLASS	Qmm	P	T	E
1	2041_2070	NA	5.841	28.284	5.597
2	2041_2070	NA	5.010	27.456	5.886
3	2041_2070	NA	24.346	30.482	6.072
4	2041_2070	NA	61.854	30.690	5.999
5	2041_2070	NA	136.885	29.510	4.832
6	2041_2070	NA	270.975	27.674	4.074
7	2041_2070	NA	360.610	27.951	4.348
8	2041_2070	NA	173.924	27.636	4.146
9	2041_2070	NA	365.444	27.841	3.985
10	2041_2070	NA	451.914	27.818	3.750
11	2041_2070	NA	302.092	27.748	3.930
12	2041_2070	NA	100.435	28.285	4.766
13	2041_2070	NA	13.684	28.439	5.597
14	2041_2070	NA	3.861	28.118	5.886
15	2041_2070	NA	22.367	31.463	6.072
16	2041_2070	NA	121.588	30.855	5.999
17	2041_2070	NA	289.321	30.031	4.832
18	2041_2070	NA	382.905	28.866	4.074
19	2041_2070	NA	141.292	29.266	4.348
20	2041_2070	NA	270.771	29.367	4.146
21	2041_2070	NA	261.466	28.480	3.985
22	2041_2070	NA	445.118	28.844	3.750
23	2041_2070	NA	155.454	29.058	3.930
24	2041_2070	NA	72.298	29.381	4.766
25	2041_2070	NA	8.039	29.189	5.597
26	2041_2070	NA	40.805	28.707	5.886
27	2041_2070	NA	13.563	32.148	6.072
28	2041_2070	NA	99.844	31.481	5.999
29	2041_2070	NA	155.335	30.574	4.832
30	2041_2070	NA	303.539	28.915	4.074
31	2041_2070	NA	291.410	29.390	4.348
32	2041_2070	NA	196.947	29.259	4.146
33	2041_2070	NA	425.170	28.290	3.985
34	2041_2070	NA	333.425	28.116	3.750
35	2041_2070	NA	274.487	28.241	3.930
36	2041_2070	NA	58.663	28.375	4.766
37	2041_2070	NA	4.820	28.761	5.597
38	2041_2070	NA	6.338	28.197	5.886
39	2041_2070	NA	20.735	31.679	6.072
40	2041_2070	NA	93.724	31.318	5.999
41	2041_2070	NA	125.325	30.007	4.832
42	2041_2070	NA	456.830	28.778	4.074
43	2041_2070	NA	397.134	28.606	4.348
44	2041_2070	NA	458.813	27.874	4.146
45	2041_2070	NA	294.088	27.378	3.985
