SEQ	CLASS	Qmm	P	T	E
1	2041_2070	NA	6.665	27.557	5.619
2	2041_2070	NA	4.327	27.041	5.761
3	2041_2070	NA	21.942	30.117	5.925
4	2041_2070	NA	60.111	29.948	5.895
5	2041_2070	NA	177.192	28.472	4.525
6	2041_2070	NA	296.185	26.545	3.975
7	2041_2070	NA	374.443	26.827	4.160
8	2041_2070	NA	184.044	26.930	4.060
9	2041_2070	NA	367.142	27.181	3.863
10	2041_2070	NA	472.012	26.740	3.807
11	2041_2070	NA	255.988	27.591	4.037
12	2041_2070	NA	67.167	28.181	4.877
13	2041_2070	NA	14.508	28.594	5.619
14	2041_2070	NA	3.179	27.668	5.761
15	2041_2070	NA	19.963	30.899	5.925
16	2041_2070	NA	119.845	30.629	5.895
17	2041_2070	NA	329.628	28.669	4.525
18	2041_2070	NA	408.115	27.590	3.975
19	2041_2070	NA	155.124	27.933	4.160
20	2041_2070	NA	280.892	28.309	4.060
21	2041_2070	NA	263.164	27.183	3.863
22	2041_2070	NA	465.216	27.696	3.807
23	2041_2070	NA	109.350	27.851	4.037
24	2041_2070	NA	39.029	28.385	4.877
25	2041_2070	NA	8.863	28.347	5.619
26	2041_2070	NA	40.123	27.861	5.761
27	2041_2070	NA	11.158	31.590	5.925
28	2041_2070	NA	98.101	31.035	5.895
29	2041_2070	NA	195.643	29.343	4.525
30	2041_2070	NA	328.749	28.266	3.975
31	2041_2070	NA	305.242	29.088	4.160
32	2041_2070	NA	207.068	28.579	4.060
33	2041_2070	NA	426.867	27.935	3.863
34	2041_2070	NA	353.524	27.422	3.807
35	2041_2070	NA	228.383	27.773	4.037
36	2041_2070	NA	25.395	28.387	4.877
37	2041_2070	NA	5.643	28.458	5.619
38	2041_2070	NA	5.655	28.394	5.761
39	2041_2070	NA	18.331	31.580	5.925
40	2041_2070	NA	91.981	31.175	5.895
41	2041_2070	NA	165.633	29.665	4.525
42	2041_2070	NA	482.040	28.483	3.975
43	2041_2070	NA	410.966	29.082	4.160
44	2041_2070	NA	468.933	28.757	4.060
45	2041_2070	NA	295.786	28.321	3.863
46	2041_2070	NA	473.214	27.537	3.807
47	2041_2070	NA	92.021	27.689	4.037
48	2041_2070	NA	25.512	28.463	4.877
49	2041_2070	NA	20.583	28.890	5.619
50	2041_2070	NA	9.678	28.692	5.761
51	2041_2070	NA	9.938	31.727	5.925
52	2041_2070	NA	12.343	30.957	5.895
53	2041_2070	NA	261.412	30.214	4.525
54	2041_2070	NA	296.586	28.080	3.975
55	2041_2070	NA	180.661	28.640	4.160
56	2041_2070	NA	232.802	27.659	4.060
57	2041_2070	NA	381.873	26.657	3.863
58	2041_2070	NA	309.572	27.073	3.807
59	2041_2070	NA	114.207	27.039	4.037
60	2041_2070	NA	22.762	27.296	4.877
61	2041_2070	NA	26.857	27.645	5.619
62	2041_2070	NA	19.404	27.492	5.761
63	2041_2070	NA	25.654	30.752	5.925
64	2041_2070	NA	79.374	30.760	5.895
65	2041_2070	NA	507.867	29.294	4.525
66	2041_2070	NA	385.271	27.640	3.975
67	2041_2070	NA	335.569	28.419	4.160
68	2041_2070	NA	300.524	28.450	4.060
69	2041_2070	NA	306.632	27.928	3.863
70	2041_2070	NA	489.905	27.454	3.807
71	2041_2070	NA	81.959	27.744	4.037
72	2041_2070	NA	68.714	28.212	4.877
73	2041_2070	NA	20.757	28.865	5.619
74	2041_2070	NA	22.007	28.524	5.761
75	2041_2070	NA	8.730	31.284	5.925
76	2041_2070	NA	88.509	30.455	5.895
77	2041_2070	NA	160.137	28.769	4.525
78	2041_2070	NA	339.814	28.007	3.975
79	2041_2070	NA	218.686	28.892	4.160
80	2041_2070	NA	267.022	28.610	4.060
81	2041_2070	NA	503.867	27.524	3.863
82	2041_2070	NA	370.151	27.795	3.807
83	2041_2070	NA	127.466	27.575	4.037
84	2041_2070	NA	80.122	27.641	4.877
85	2041_2070	NA	16.193	28.643	5.619
86	2041_2070	NA	28.721	28.236	5.761
87	2041_2070	NA	14.901	31.076	5.925
88	2041_2070	NA	39.584	30.519	5.895
89	2041_2070	NA	446.532	29.601	4.525
90	2041_2070	NA	404.764	28.702	3.975
91	2041_2070	NA	228.615	28.584	4.160
92	2041_2070	NA	214.614	28.627	4.060
93	2041_2070	NA	319.136	27.748	3.863
94	2041_2070	NA	455.633	27.729	3.807
95	2041_2070	NA	238.786	27.905	4.037
96	2041_2070	NA	44.671	28.846	4.877
97	2041_2070	NA	19.570	28.665	5.619
98	2041_2070	NA	3.890	28.423	5.761
99	2041_2070	NA	42.418	31.820	5.925
100	2041_2070	NA	94.428	31.098	5.895
101	2041_2070	NA	225.589	29.775	4.525
102	2041_2070	NA	304.108	27.759	3.975
103	2041_2070	NA	122.470	28.206	4.160
104	2041_2070	NA	461.930	28.111	4.060
105	2041_2070	NA	447.136	27.602	3.863
106	2041_2070	NA	880.543	27.516	3.807
107	2041_2070	NA	158.632	27.707	4.037
108	2041_2070	NA	49.575	28.141	4.877
109	2041_2070	NA	15.413	28.748	5.619
110	2041_2070	NA	8.535	28.161	5.761
111	2041_2070	NA	68.008	31.186	5.925
112	2041_2070	NA	75.225	30.648	5.895
113	2041_2070	NA	286.579	29.473	4.525
114	2041_2070	NA	252.055	28.284	3.975
115	2041_2070	NA	292.787	28.224	4.160
116	2041_2070	NA	392.107	28.186	4.060
117	2041_2070	NA	420.618	26.767	3.863
118	2041_2070	NA	419.208	27.135	3.807
119	2041_2070	NA	178.086	28.077	4.037
120	2041_2070	NA	28.471	28.224	4.877
121	2041_2070	NA	15.589	28.862	5.619
122	2041_2070	NA	12.840	28.267	5.761
123	2041_2070	NA	4.667	31.477	5.925
124	2041_2070	NA	85.812	30.912	5.895
125	2041_2070	NA	275.032	29.645	4.525
126	2041_2070	NA	265.924	27.986	3.975
127	2041_2070	NA	114.986	29.193	4.160
128	2041_2070	NA	306.166	29.001	4.060
129	2041_2070	NA	562.860	28.078	3.863
130	2041_2070	NA	552.162	27.638	3.807
131	2041_2070	NA	94.326	27.981	4.037
132	2041_2070	NA	2.917	28.462	4.877
133	2041_2070	NA	29.941	28.733	5.619
134	2041_2070	NA	4.962	28.612	5.761
135	2041_2070	NA	5.417	32.030	5.925
136	2041_2070	NA	55.888	30.776	5.895
137	2041_2070	NA	300.386	29.690	4.525
138	2041_2070	NA	219.598	27.595	3.975
139	2041_2070	NA	114.717	27.681	4.160
140	2041_2070	NA	219.664	27.534	4.060
141	2041_2070	NA	283.571	27.384	3.863
142	2041_2070	NA	267.563	27.331	3.807
143	2041_2070	NA	196.546	27.595	4.037
144	2041_2070	NA	49.855	28.103	4.877
145	2041_2070	NA	5.215	28.160	5.619
146	2041_2070	NA	5.843	27.806	5.761
147	2041_2070	NA	9.574	30.728	5.925
148	2041_2070	NA	58.553	30.438	5.895
149	2041_2070	NA	281.471	28.814	4.525
150	2041_2070	NA	467.355	26.983	3.975
151	2041_2070	NA	276.666	27.737	4.160
152	2041_2070	NA	467.970	27.631	4.060
153	2041_2070	NA	464.314	27.342	3.863
154	2041_2070	NA	490.598	26.707	3.807
155	2041_2070	NA	154.204	27.888	4.037
156	2041_2070	NA	10.305	28.508	4.877
157	2041_2070	NA	14.490	28.377	5.619
158	2041_2070	NA	6.815	28.062	5.761
159	2041_2070	NA	14.601	31.402	5.925
160	2041_2070	NA	37.069	30.900	5.895
161	2041_2070	NA	333.480	28.607	4.525
162	2041_2070	NA	345.907	27.944	3.975
163	2041_2070	NA	157.284	28.230	4.160
164	2041_2070	NA	272.812	28.155	4.060
165	2041_2070	NA	523.299	27.688	3.863
166	2041_2070	NA	351.467	27.057	3.807
167	2041_2070	NA	85.896	27.693	4.037
168	2041_2070	NA	17.369	28.312	4.877
169	2041_2070	NA	6.577	28.365	5.619
170	2041_2070	NA	4.227	28.085	5.761
171	2041_2070	NA	7.252	30.867	5.925
172	2041_2070	NA	22.443	30.629	5.895
173	2041_2070	NA	260.802	29.608	4.525
174	2041_2070	NA	256.619	28.451	3.975
175	2041_2070	NA	210.454	29.130	4.160
176	2041_2070	NA	305.571	28.326	4.060
177	2041_2070	NA	451.663	27.999	3.863
178	2041_2070	NA	422.621	26.829	3.807
179	2041_2070	NA	393.122	27.485	4.037
180	2041_2070	NA	21.866	28.097	4.877
181	2041_2070	NA	6.521	28.650	5.619
182	2041_2070	NA	5.283	28.239	5.761
183	2041_2070	NA	8.099	30.379	5.925
184	2041_2070	NA	55.191	30.388	5.895
185	2041_2070	NA	199.949	28.474	4.525
186	2041_2070	NA	397.052	27.290	3.975
187	2041_2070	NA	128.389	27.862	4.160
188	2041_2070	NA	173.195	27.563	4.060
189	2041_2070	NA	212.937	27.343	3.863
190	2041_2070	NA	396.421	27.092	3.807
191	2041_2070	NA	153.966	27.955	4.037
192	2041_2070	NA	11.063	28.154	4.877
193	2041_2070	NA	2.674	28.002	5.619
194	2041_2070	NA	1.492	27.531	5.761
195	2041_2070	NA	3.653	30.930	5.925
196	2041_2070	NA	39.673	30.391	5.895
197	2041_2070	NA	192.826	28.668	4.525
198	2041_2070	NA	233.027	28.025	3.975
199	2041_2070	NA	151.235	28.743	4.160
200	2041_2070	NA	257.270	28.350	4.060
201	2041_2070	NA	388.124	27.998	3.863
202	2041_2070	NA	374.889	27.632	3.807
203	2041_2070	NA	147.498	28.297	4.037
