SEQ	CLASS	Qmm	P	T	E
1	2011_2040	NA	5.240	27.618	5.562
2	2011_2040	NA	5.626	26.462	5.770
3	2011_2040	NA	22.862	29.670	5.999
4	2011_2040	NA	63.372	29.570	5.925
5	2011_2040	NA	187.264	28.232	4.726
6	2011_2040	NA	326.297	26.762	3.973
7	2011_2040	NA	420.959	27.450	4.307
8	2011_2040	NA	231.194	26.948	4.414
9	2011_2040	NA	396.364	26.711	4.281
10	2011_2040	NA	445.714	26.546	3.867
11	2011_2040	NA	239.669	27.001	4.026
12	2011_2040	NA	86.624	27.224	4.792
13	2011_2040	NA	13.083	27.627	5.562
14	2011_2040	NA	4.478	27.092	5.770
15	2011_2040	NA	20.883	30.722	5.999
16	2011_2040	NA	123.106	29.744	5.925
17	2011_2040	NA	339.701	27.681	4.726
18	2011_2040	NA	438.226	26.681	3.973
19	2011_2040	NA	201.641	27.045	4.307
20	2011_2040	NA	328.041	27.432	4.414
21	2011_2040	NA	292.386	26.467	4.281
22	2011_2040	NA	438.918	26.372	3.867
23	2011_2040	NA	93.031	26.906	4.026
24	2011_2040	NA	58.486	26.890	4.792
25	2011_2040	NA	7.438	27.267	5.562
26	2011_2040	NA	41.422	27.247	5.770
27	2011_2040	NA	12.078	30.681	5.999
28	2011_2040	NA	101.362	29.995	5.925
29	2011_2040	NA	205.715	28.491	4.726
30	2011_2040	NA	358.861	26.655	3.973
31	2011_2040	NA	351.759	27.131	4.307
32	2011_2040	NA	254.217	27.140	4.414
33	2011_2040	NA	456.089	26.698	4.281
34	2011_2040	NA	327.225	26.516	3.867
35	2011_2040	NA	212.064	26.806	4.026
36	2011_2040	NA	44.852	27.397	4.792
37	2011_2040	NA	4.218	27.539	5.562
38	2011_2040	NA	6.954	27.153	5.770
39	2011_2040	NA	19.251	30.494	5.999
40	2011_2040	NA	95.242	30.285	5.925
41	2011_2040	NA	175.705	28.108	4.726
42	2011_2040	NA	512.152	27.353	3.973
43	2011_2040	NA	457.483	27.982	4.307
44	2011_2040	NA	516.082	27.719	4.414
45	2011_2040	NA	325.008	27.239	4.281
46	2011_2040	NA	446.916	26.424	3.867
47	2011_2040	NA	75.702	27.096	4.026
48	2011_2040	NA	44.969	27.932	4.792
49	2011_2040	NA	19.158	28.371	5.562
50	2011_2040	NA	10.977	27.734	5.770
51	2011_2040	NA	10.857	30.758	5.999
52	2011_2040	NA	15.604	30.382	5.925
53	2011_2040	NA	271.485	29.404	4.726
54	2011_2040	NA	326.698	28.003	3.973
55	2011_2040	NA	227.178	28.155	4.307
56	2011_2040	NA	279.952	27.737	4.414
57	2011_2040	NA	411.096	27.048	4.281
58	2011_2040	NA	283.273	26.996	3.867
59	2011_2040	NA	97.888	27.026	4.026
60	2011_2040	NA	42.219	27.436	4.792
61	2011_2040	NA	25.432	27.586	5.562
62	2011_2040	NA	20.703	27.365	5.770
63	2011_2040	NA	26.574	30.521	5.999
64	2011_2040	NA	82.635	30.235	5.925
65	2011_2040	NA	517.940	29.015	4.726
66	2011_2040	NA	415.383	27.135	3.973
67	2011_2040	NA	382.085	27.736	4.307
68	2011_2040	NA	347.673	27.486	4.414
69	2011_2040	NA	335.854	27.478	4.281
70	2011_2040	NA	463.607	27.312	3.867
71	2011_2040	NA	65.640	27.573	4.026
72	2011_2040	NA	88.171	27.971	4.792
