SEQ	CLASS	Qmm	P	T	E
1	2041_2070	NA	8.848	27.770	5.859323143
2	2041_2070	NA	4.925	27.465	6.008392727
3	2041_2070	NA	22.791	30.555	6.16565438
4	2041_2070	NA	69.327	30.135	5.953779243
5	2041_2070	NA	187.621	28.996	5.054499935
6	2041_2070	NA	320.663	27.804	4.239412292
7	2041_2070	NA	395.167	28.137	4.46136026
8	2041_2070	NA	189.656	27.810	4.423650041
9	2041_2070	NA	370.552	27.924	4.219758068
10	2041_2070	NA	438.533	27.266	3.863711562
11	2041_2070	NA	294.223	28.086	3.8851484
12	2041_2070	NA	105.551	28.041	4.667971247
13	2041_2070	NA	16.691	28.359	5.859323143
14	2041_2070	NA	3.776	27.926	6.008392727
15	2041_2070	NA	20.812	30.976	6.16565438
16	2041_2070	NA	129.061	30.578	5.953779243
17	2041_2070	NA	340.057	28.864	5.054499935
18	2041_2070	NA	432.593	27.800	4.239412292
19	2041_2070	NA	175.849	28.154	4.46136026
20	2041_2070	NA	286.503	27.844	4.423650041
21	2041_2070	NA	266.573	26.802	4.219758068
22	2041_2070	NA	431.737	27.018	3.863711562
23	2041_2070	NA	147.585	27.145	3.8851484
24	2041_2070	NA	77.414	27.361	4.667971247
25	2041_2070	NA	11.046	27.342	5.859323143
26	2041_2070	NA	40.720	27.319	6.008392727
27	2041_2070	NA	12.007	30.899	6.16565438
28	2041_2070	NA	107.317	30.270	5.953779243
29	2041_2070	NA	206.072	28.506	5.054499935
30	2041_2070	NA	353.227	27.359	4.239412292
31	2041_2070	NA	325.967	28.086	4.46136026
32	2041_2070	NA	212.679	28.417	4.423650041
33	2041_2070	NA	430.277	27.565	4.219758068
34	2041_2070	NA	320.045	27.359	3.863711562
35	2041_2070	NA	266.618	27.568	3.8851484
36	2041_2070	NA	63.780	28.115	4.667971247
37	2041_2070	NA	7.826	28.353	5.859323143
38	2041_2070	NA	6.253	27.936	6.008392727
39	2041_2070	NA	19.180	31.446	6.16565438
40	2041_2070	NA	101.197	31.490	5.953779243
41	2041_2070	NA	176.062	29.458	5.054499935
42	2041_2070	NA	506.518	28.457	4.239412292
43	2041_2070	NA	431.691	28.519	4.46136026
44	2041_2070	NA	474.544	28.215	4.423650041
45	2041_2070	NA	299.196	28.281	4.219758068
46	2041_2070	NA	439.735	26.985	3.863711562
47	2041_2070	NA	130.256	27.267	3.8851484
48	2041_2070	NA	63.897	28.043	4.667971247
49	2041_2070	NA	22.766	28.534	5.859323143
50	2041_2070	NA	10.276	27.895	6.008392727
51	2041_2070	NA	10.786	31.032	6.16565438
52	2041_2070	NA	21.559	30.988	5.953779243
53	2041_2070	NA	271.841	29.546	5.054499935
54	2041_2070	NA	321.065	27.914	4.239412292
55	2041_2070	NA	201.386	28.268	4.46136026
56	2041_2070	NA	238.414	27.931	4.423650041
57	2041_2070	NA	385.283	26.648	4.219758068
58	2041_2070	NA	276.093	27.221	3.863711562
59	2041_2070	NA	152.442	27.094	3.8851484
60	2041_2070	NA	61.147	27.098	4.667971247
61	2041_2070	NA	29.040	27.294	5.859323143
62	2041_2070	NA	20.001	27.224	6.008392727
63	2041_2070	NA	26.503	30.493	6.16565438
64	2041_2070	NA	88.590	30.951	5.953779243
65	2041_2070	NA	518.296	28.827	5.054499935
66	2041_2070	NA	409.750	27.462	4.239412292
67	2041_2070	NA	356.294	28.260	4.46136026
68	2041_2070	NA	306.135	28.347	4.423650041
69	2041_2070	NA	310.041	28.056	4.219758068
70	2041_2070	NA	456.426	27.920	3.863711562
71	2041_2070	NA	120.194	27.842	3.8851484
72	2041_2070	NA	107.098	28.186	4.667971247
73	2041_2070	NA	22.941	28.580	5.859323143
74	2041_2070	NA	22.604	28.401	6.008392727
75	2041_2070	NA	9.579	31.527	6.16565438
76	2041_2070	NA	97.725	31.022	5.953779243
77	2041_2070	NA	170.566	29.719	5.054499935
78	2041_2070	NA	364.292	28.323	4.239412292
79	2041_2070	NA	239.410	29.051	4.46136026
80	2041_2070	NA	272.634	28.808	4.423650041
81	2041_2070	NA	507.277	28.044	4.219758068
82	2041_2070	NA	336.672	28.513	3.863711562
83	2041_2070	NA	165.701	28.418	3.8851484
84	2041_2070	NA	118.507	28.569	4.667971247
85	2041_2070	NA	18.376	29.253	5.859323143
86	2041_2070	NA	29.319	28.978	6.008392727
87	2041_2070	NA	15.750	31.672	6.16565438
88	2041_2070	NA	48.799	30.567	5.953779243
89	2041_2070	NA	456.961	28.921	5.054499935
90	2041_2070	NA	429.242	27.956	4.239412292
91	2041_2070	NA	249.339	28.236	4.46136026
92	2041_2070	NA	220.225	27.921	4.423650041
93	2041_2070	NA	322.546	27.515	4.219758068
94	2041_2070	NA	422.154	27.567	3.863711562
95	2041_2070	NA	277.020	27.530	3.8851484
96	2041_2070	NA	83.056	28.241	4.667971247
97	2041_2070	NA	21.753	28.482	5.859323143
98	2041_2070	NA	4.487	28.138	6.008392727
99	2041_2070	NA	43.267	31.496	6.16565438
100	2041_2070	NA	103.644	31.177	5.953779243
101	2041_2070	NA	236.018	29.062	5.054499935
102	2041_2070	NA	328.586	27.656	4.239412292
103	2041_2070	NA	143.195	27.610	4.46136026
104	2041_2070	NA	467.541	27.703	4.423650041
105	2041_2070	NA	450.546	27.230	4.219758068
106	2041_2070	NA	847.064	27.213	3.863711562
107	2041_2070	NA	196.867	27.295	3.8851484
108	2041_2070	NA	87.959	27.753	4.667971247
109	2041_2070	NA	17.596	28.028	5.859323143
110	2041_2070	NA	9.133	27.196	6.008392727
111	2041_2070	NA	68.857	30.739	6.16565438
112	2041_2070	NA	84.441	30.157	5.953779243
113	2041_2070	NA	297.008	28.773	5.054499935
114	2041_2070	NA	276.533	27.385	4.239412292
115	2041_2070	NA	313.512	28.012	4.46136026
116	2041_2070	NA	397.718	27.562	4.423650041
117	2041_2070	NA	424.028	26.679	4.219758068
118	2041_2070	NA	385.729	27.153	3.863711562
119	2041_2070	NA	216.321	27.551	3.8851484
120	2041_2070	NA	66.856	28.349	4.667971247
121	2041_2070	NA	17.772	28.476	5.859323143
122	2041_2070	NA	13.438	27.594	6.008392727
123	2041_2070	NA	5.516	30.920	6.16565438
124	2041_2070	NA	95.028	30.377	5.953779243
125	2041_2070	NA	285.461	29.460	5.054499935
126	2041_2070	NA	290.402	27.878	4.239412292
127	2041_2070	NA	135.710	28.738	4.46136026
128	2041_2070	NA	311.777	28.240	4.423650041
129	2041_2070	NA	566.269	27.640	4.219758068
130	2041_2070	NA	518.684	27.564	3.863711562
131	2041_2070	NA	132.561	28.173	3.8851484
132	2041_2070	NA	41.302	28.609	4.667971247
133	2041_2070	NA	32.124	28.613	5.859323143
134	2041_2070	NA	5.560	28.260	6.008392727
