SEQ	CLASS	Qmm	P	T	E
1	2011_2040	NA	7.285	27.540	5.615
2	2011_2040	NA	6.035	27.033	5.730
3	2011_2040	NA	23.955	29.924	5.900
4	2011_2040	NA	63.857	30.171	5.772
5	2011_2040	NA	151.045	29.089	4.757
6	2011_2040	NA	299.635	27.262	4.150
7	2011_2040	NA	383.561	27.346	4.318
8	2011_2040	NA	182.882	27.246	4.292
9	2011_2040	NA	366.205	27.056	4.143
10	2011_2040	NA	433.802	26.535	3.937
11	2011_2040	NA	260.647	26.960	4.022
12	2011_2040	NA	87.182	27.203	4.703
13	2011_2040	NA	15.128	27.793	5.615
14	2011_2040	NA	4.887	27.048	5.730
15	2011_2040	NA	21.976	30.142	5.900
16	2011_2040	NA	123.591	29.920	5.772
17	2011_2040	NA	303.481	27.895	4.757
18	2011_2040	NA	411.565	27.390	4.150
19	2011_2040	NA	164.243	27.691	4.318
20	2011_2040	NA	279.729	27.933	4.292
21	2011_2040	NA	262.226	27.020	4.143
22	2011_2040	NA	427.006	27.398	3.937
23	2011_2040	NA	114.009	27.132	4.022
24	2011_2040	NA	59.045	27.342	4.703
25	2011_2040	NA	9.483	27.186	5.615
26	2011_2040	NA	41.831	27.031	5.730
27	2011_2040	NA	13.171	30.604	5.900
28	2011_2040	NA	101.847	30.013	5.772
29	2011_2040	NA	169.496	27.846	4.757
30	2011_2040	NA	332.199	26.925	4.150
31	2011_2040	NA	314.361	27.923	4.318
32	2011_2040	NA	205.905	27.913	4.292
33	2011_2040	NA	425.930	27.425	4.143
34	2011_2040	NA	315.313	27.709	3.937
35	2011_2040	NA	233.042	27.253	4.022
36	2011_2040	NA	45.410	27.819	4.703
37	2011_2040	NA	6.264	27.926	5.615
38	2011_2040	NA	7.363	27.494	5.730
39	2011_2040	NA	20.344	30.679	5.900
40	2011_2040	NA	95.727	30.757	5.772
41	2011_2040	NA	139.486	29.408	4.757
42	2011_2040	NA	485.490	28.022	4.150
43	2011_2040	NA	420.085	28.167	4.318
44	2011_2040	NA	467.771	27.710	4.292
45	2011_2040	NA	294.848	27.557	4.143
46	2011_2040	NA	435.004	27.015	3.937
47	2011_2040	NA	96.681	27.171	4.022
48	2011_2040	NA	45.527	27.782	4.703
49	2011_2040	NA	21.203	28.231	5.615
50	2011_2040	NA	11.386	27.692	5.730
51	2011_2040	NA	11.950	30.774	5.900
52	2011_2040	NA	16.089	30.901	5.772
53	2011_2040	NA	235.265	29.706	4.757
54	2011_2040	NA	300.036	27.603	4.150
55	2011_2040	NA	189.780	27.933	4.318
56	2011_2040	NA	231.640	27.567	4.292
57	2011_2040	NA	380.936	26.467	4.143
58	2011_2040	NA	271.361	26.721	3.937
59	2011_2040	NA	118.866	26.649	4.022
60	2011_2040	NA	42.778	26.937	4.703
61	2011_2040	NA	27.477	27.098	5.615
62	2011_2040	NA	21.112	26.911	5.730
63	2011_2040	NA	27.667	29.982	5.900
64	2011_2040	NA	83.120	30.071	5.772
65	2011_2040	NA	481.720	28.433	4.757
66	2011_2040	NA	388.721	26.824	4.150
67	2011_2040	NA	344.688	27.364	4.318
68	2011_2040	NA	299.362	27.137	4.292
69	2011_2040	NA	305.694	26.537	4.143
70	2011_2040	NA	451.695	26.832	3.937
71	2011_2040	NA	86.618	26.922	4.022
72	2011_2040	NA	88.729	27.519	4.703
73	2011_2040	NA	21.378	28.116	5.615
74	2011_2040	NA	23.715	27.894	5.730
75	2011_2040	NA	10.743	30.750	5.900
76	2011_2040	NA	92.255	30.088	5.772
77	2011_2040	NA	133.990	28.768	4.757
78	2011_2040	NA	343.264	27.751	4.150
79	2011_2040	NA	227.804	28.219	4.318
80	2011_2040	NA	265.860	27.814	4.292
81	2011_2040	NA	502.930	27.284	4.143
82	2011_2040	NA	331.940	27.431	3.937
83	2011_2040	NA	132.125	27.236	4.022
84	2011_2040	NA	100.138	27.438	4.703
85	2011_2040	NA	16.813	28.359	5.615
86	2011_2040	NA	30.429	27.798	5.730
87	2011_2040	NA	16.914	30.833	5.900
88	2011_2040	NA	43.329	30.136	5.772
89	2011_2040	NA	420.384	29.199	4.757
90	2011_2040	NA	408.214	28.000	4.150
91	2011_2040	NA	237.733	28.091	4.318
92	2011_2040	NA	213.451	27.956	4.292
93	2011_2040	NA	318.199	27.581	4.143
94	2011_2040	NA	417.422	27.377	3.937
95	2011_2040	NA	243.445	27.722	4.022
96	2011_2040	NA	64.687	28.254	4.703
97	2011_2040	NA	20.190	28.073	5.615
98	2011_2040	NA	5.598	27.796	5.730
99	2011_2040	NA	44.431	30.736	5.900
100	2011_2040	NA	98.174	30.512	5.772
101	2011_2040	NA	199.442	29.174	4.757
102	2011_2040	NA	307.558	27.786	4.150
103	2011_2040	NA	131.589	27.913	4.318
104	2011_2040	NA	460.767	27.732	4.292
105	2011_2040	NA	446.199	27.427	4.143
106	2011_2040	NA	842.333	27.252	3.937
107	2011_2040	NA	163.292	26.887	4.022
108	2011_2040	NA	69.590	27.490	4.703
109	2011_2040	NA	16.033	27.710	5.615
110	2011_2040	NA	10.244	26.976	5.730
111	2011_2040	NA	70.021	30.345	5.900
112	2011_2040	NA	78.971	30.381	5.772
113	2011_2040	NA	260.432	29.325	4.757
114	2011_2040	NA	255.505	28.012	4.150
115	2011_2040	NA	301.906	28.425	4.318
116	2011_2040	NA	390.944	28.422	4.292
117	2011_2040	NA	419.681	26.997	4.143
118	2011_2040	NA	380.998	27.153	3.937
119	2011_2040	NA	182.745	27.776	4.022
120	2011_2040	NA	48.486	28.072	4.703
121	2011_2040	NA	16.209	28.199	5.615
122	2011_2040	NA	14.548	27.710	5.730
123	2011_2040	NA	6.680	30.744	5.900
124	2011_2040	NA	89.558	30.302	5.772
125	2011_2040	NA	248.885	29.080	4.757
126	2011_2040	NA	269.373	27.693	4.150
127	2011_2040	NA	124.104	28.065	4.318
128	2011_2040	NA	305.003	27.873	4.292
129	2011_2040	NA	561.922	27.307	4.143
130	2011_2040	NA	513.952	27.122	3.937
131	2011_2040	NA	98.985	27.432	4.022
132	2011_2040	NA	22.932	27.469	4.703
133	2011_2040	NA	30.562	27.684	5.615
134	2011_2040	NA	6.671	27.396	5.730
