SEQ	CLASS	Qmm	P	T	E
128	1961_1990	NA	293.821	26.588	4.191273689
129	1961_1990	NA	557.061	25.962	4.01298666
130	1961_1990	NA	475.436	25.824	3.884227991
131	1961_1990	NA	78.143	26.076	4.020458221
132	1961_1990	NA	6.343	26.367	4.649784565
133	1961_1990	NA	30.325	26.657	5.166289806
134	1961_1990	NA	5.328	26.260	5.474077225
135	1961_1990	NA	5.255	29.479	5.746303558
136	1961_1990	NA	48.639	29.033	5.551989079
137	1961_1990	NA	265.581	27.747	4.509092331
138	1961_1990	NA	198.822	26.424	3.962051868
139	1961_1990	NA	120.532	26.757	4.095198154
140	1961_1990	NA	207.320	26.588	4.191273689
141	1961_1990	NA	277.772	25.962	4.01298666
142	1961_1990	NA	190.836	25.824	3.884227991
143	1961_1990	NA	180.364	26.076	4.020458221
144	1961_1990	NA	53.281	26.367	4.649784565
145	1961_1990	NA	5.598	26.657	5.166289806
146	1961_1990	NA	6.208	26.260	5.474077225
147	1961_1990	NA	9.412	29.479	5.746303558
148	1961_1990	NA	51.305	29.033	5.551989079
149	1961_1990	NA	246.666	27.747	4.509092331
150	1961_1990	NA	446.579	26.424	3.962051868
151	1961_1990	NA	282.480	26.757	4.095198154
152	1961_1990	NA	455.625	26.588	4.191273689
153	1961_1990	NA	458.515	25.962	4.01298666
154	1961_1990	NA	413.872	25.824	3.884227991
155	1961_1990	NA	138.022	26.076	4.020458221
156	1961_1990	NA	13.731	26.367	4.649784565
157	1961_1990	NA	14.874	26.657	5.166289806
158	1961_1990	NA	7.180	26.260	5.474077225
159	1961_1990	NA	14.438	29.479	5.746303558
160	1961_1990	NA	29.820	29.033	5.551989079
161	1961_1990	NA	298.675	27.747	4.509092331
162	1961_1990	NA	325.131	26.424	3.962051868
163	1961_1990	NA	163.099	26.757	4.095198154
164	1961_1990	NA	260.467	26.588	4.191273689
165	1961_1990	NA	517.500	25.962	4.01298666
166	1961_1990	NA	274.741	25.824	3.884227991
167	1961_1990	NA	69.713	26.076	4.020458221
168	1961_1990	NA	20.795	26.367	4.649784565
169	1961_1990	NA	6.960	26.657	5.166289806
170	1961_1990	NA	4.592	26.260	5.474077225
171	1961_1990	NA	7.090	29.479	5.746303558
172	1961_1990	NA	15.194	29.033	5.551989079
173	1961_1990	NA	225.997	27.747	4.509092331
174	1961_1990	NA	235.843	26.424	3.962051868
175	1961_1990	NA	216.268	26.757	4.095198154
176	1961_1990	NA	293.227	26.588	4.191273689
177	1961_1990	NA	445.864	25.962	4.01298666
